,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2009/01/01,,,,,,,,,,,,,,,,,,,,,
2009/01/02,,,,,,,,,,,,,,,,,,,,,
2009/01/03,,,,,,,,,,,,,,,,,,,,,
2009/01/04,,,,,,,,,,,,,,,,,,,,,
2009/01/05,,,,,,,,,,,,,,,,,,,,,
2009/01/06,,,,,,,,,,,,,,,,,,,,,
2009/01/07,,,,,,,,,,,,,,,,,,,,,
2009/01/08,,,,,,,,,,,,,,,,,,,,,
2009/01/09,,,,,,,,,,,,,,,,,,,,,
2009/01/10,,,,,,,,,,,,,,,,,,,,,
2009/01/11,,,,,,,,,,,,,,,,,,,,,
2009/01/12,,,,,,,,,,,,,,,,,,,,,
2009/01/13,,,,,,,,,,,,,,,,,,,,,
2009/01/14,,,,,,,,,,,,,,,,,,,,,
2009/01/15,,,,,,,,,,,,,,,,,,,,,
2009/01/16,,,,,,,,,,,,,,,,,,,,,
2009/01/17,,,,,,,,,,,,,,,,,,,,,
2009/01/18,,,,,,,,,,,,,,,,,,,,,
2009/01/19,,,,,,,,,,,,,,,,,,,,,
2009/01/20,,,,,,,,,,,,,,,,,,,,,
2009/01/21,,,,,,,,,,,,,,,,,,,,,
2009/01/22,,,,,,,,,,,,,,,,,,,,,
2009/01/23,,,,,,,,,,,,,,,,,,,,,
2009/01/24,,,,,,,,,,,,,,,,,,,,,
2009/01/25,,,,,,,,,,,,,,,,,,,,,
2009/01/26,,,,,,,,,,,,,,,,,,,,,
2009/01/27,,,,,,,,,,,,,,,,,,,,,
2009/01/28,,,,,,,,,,,,,,,,,,,,,
2009/01/29,11,269.36,34.48,793.8,265.5,N,0.0,90.0,280.02,13.461290322580645,11.355806451612903,9.90258064516129,8.570967741935483,8.76258064516129,70.31967741935483,102.80096774193548,210.41806451612902,262.70451612903224,270.50870967741935,270.84548387096777,270.9222580645161
2009/01/30,,,,,,,,,,,,,,,,,,,,,
2009/01/31,,,,,,,,,,,,,,,,,,,,,
2009/02/01,,,,,,,,,,,,,,,,,,,,,
2009/02/02,,,,,,,,,,,,,,,,,,,,,
2009/02/03,11,269.21,76.9,793.8,263.1,N,0.0,90.0,279.56,11.716129032258063,10.231290322580644,9.359677419354838,8.19483870967742,8.149999999999999,70.70193548387097,102.4558064516129,208.52870967741936,260.90806451612906,269.4096774193548,270.0448387096774,270.1109677419355
2009/02/04,11,269.24,88.2,793.8,263.6,N,0.0,90.0,278.86,9.554193548387097,7.934516129032257,7.3832258064516125,7.241612903225807,7.421290322580644,69.41451612903225,102.0825806451613,210.05,263.60161290322577,271.73290322580647,271.9790322580645,271.75354838709677
2009/02/05,,,,,,,,,,,,,,,,,,,,,
2009/02/06,11,273.65,78.45,793.7,266.4,N,0.0,90.0,283.98,14.425483870967742,12.67258064516129,11.16548387096774,9.076451612903224,8.564193548387095,71.20451612903226,103.71870967741934,212.67612903225805,264.9203225806451,272.27838709677417,272.5396774193548,272.666129032258
2009/02/07,11,272.2,58.42,793.7,272.1,N,0.0,90.0,283.74,15.666774193548388,13.589677419354839,12.112580645161291,10.058064516129033,9.94774193548387,73.54451612903226,105.52483870967743,212.60193548387096,262.69225806451607,269.496129032258,269.96290322580643,270.1777419354838
