,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2007/01/01,,,,,,,,,,,,,,,,,,,,,
2007/01/02,,,,,,,,,,,,,,,,,,,,,
2007/01/03,,,,,,,,,,,,,,,,,,,,,
2007/01/04,,,,,,,,,,,,,,,,,,,,,
2007/01/05,,,,,,,,,,,,,,,,,,,,,
2007/01/06,,,,,,,,,,,,,,,,,,,,,
2007/01/07,,,,,,,,,,,,,,,,,,,,,
2007/01/08,,,,,,,,,,,,,,,,,,,,,
2007/01/09,,,,,,,,,,,,,,,,,,,,,
2007/01/10,,,,,,,,,,,,,,,,,,,,,
2007/01/11,,,,,,,,,,,,,,,,,,,,,
2007/01/12,,,,,,,,,,,,,,,,,,,,,
2007/01/13,,,,,,,,,,,,,,,,,,,,,
2007/01/14,,,,,,,,,,,,,,,,,,,,,
2007/01/15,,,,,,,,,,,,,,,,,,,,,
2007/01/16,,,,,,,,,,,,,,,,,,,,,
2007/01/17,,,,,,,,,,,,,,,,,,,,,
2007/01/18,,,,,,,,,,,,,,,,,,,,,
2007/01/19,,,,,,,,,,,,,,,,,,,,,
2007/01/20,,,,,,,,,,,,,,,,,,,,,
2007/01/21,,,,,,,,,,,,,,,,,,,,,
2007/01/22,,,,,,,,,,,,,,,,,,,,,
2007/01/23,,,,,,,,,,,,,,,,,,,,,
2007/01/24,,,,,,,,,,,,,,,,,,,,,
2007/01/25,,,,,,,,,,,,,,,,,,,,,
2007/01/26,,,,,,,,,,,,,,,,,,,,,
2007/01/27,,,,,,,,,,,,,,,,,,,,,
2007/01/28,,,,,,,,,,,,,,,,,,,,,
2007/01/29,,,,,,,,,,,,,,,,,,,,,
2007/01/30,,,,,,,,,,,,,,,,,,,,,
2007/01/31,,,,,,,,,,,,,,,,,,,,,
2007/02/01,,,,,,,,,,,,,,,,,,,,,
2007/02/02,,,,,,,,,,,,,,,,,,,,,
2007/02/03,,,,,,,,,,,,,,,,,,,,,
2007/02/04,,,,,,,,,,,,,,,,,,,,,
2007/02/05,,,,,,,,,,,,,,,,,,,,,
2007/02/06,,,,,,,,,,,,,,,,,,,,,
2007/02/07,,,,,,,,,,,,,,,,,,,,,
2007/02/08,,,,,,,,,,,,,,,,,,,,,
2007/02/09,,,,,,,,,,,,,,,,,,,,,
2007/02/10,,,,,,,,,,,,,,,,,,,,,
2007/02/11,,,,,,,,,,,,,,,,,,,,,
2007/02/12,,,,,,,,,,,,,,,,,,,,,
2007/02/13,,,,,,,,,,,,,,,,,,,,,
2007/02/14,,,,,,,,,,,,,,,,,,,,,
2007/02/15,,,,,,,,,,,,,,,,,,,,,
2007/02/16,,,,,,,,,,,,,,,,,,,,,
2007/02/17,,,,,,,,,,,,,,,,,,,,,
2007/02/18,,,,,,,,,,,,,,,,,,,,,
2007/02/19,,,,,,,,,,,,,,,,,,,,,
2007/02/20,,,,,,,,,,,,,,,,,,,,,
2007/02/21,,,,,,,,,,,,,,,,,,,,,
2007/02/22,,,,,,,,,,,,,,,,,,,,,
2007/02/23,,,,,,,,,,,,,,,,,,,,,
2007/02/24,,,,,,,,,,,,,,,,,,,,,
2007/02/25,,,,,,,,,,,,,,,,,,,,,
2007/02/26,,,,,,,,,,,,,,,,,,,,,
2007/02/27,,,,,,,,,,,,,,,,,,,,,
2007/02/28,,,,,,,,,,,,,,,,,,,,,
2007/03/01,,,,,,,,,,,,,,,,,,,,,
2007/03/02,,,,,,,,,,,,,,,,,,,,,
2007/03/03,,,,,,,,,,,,,,,,,,,,,
2007/03/04,,,,,,,,,,,,,,,,,,,,,
2007/03/05,,,,,,,,,,,,,,,,,,,,,
2007/03/06,,,,,,,,,,,,,,,,,,,,,
2007/03/07,,,,,,,,,,,,,,,,,,,,,
2007/03/08,,,,,,,,,,,,,,,,,,,,,
2007/03/09,,,,,,,,,,,,,,,,,,,,,
2007/03/10,,,,,,,,,,,,,,,,,,,,,
2007/03/11,,,,,,,,,,,,,,,,,,,,,
2007/03/12,,,,,,,,,,,,,,,,,,,,,
2007/03/13,,,,,,,,,,,,,,,,,,,,,
2007/03/14,,,,,,,,,,,,,,,,,,,,,
2007/03/15,,,,,,,,,,,,,,,,,,,,,
2007/03/16,,,,,,,,,,,,,,,,,,,,,
2007/03/17,,,,,,,,,,,,,,,,,,,,,
2007/03/18,,,,,,,,,,,,,,,,,,,,,
2007/03/19,,,,,,,,,,,,,,,,,,,,,
2007/03/20,,,,,,,,,,,,,,,,,,,,,
2007/03/21,,,,,,,,,,,,,,,,,,,,,
2007/03/22,,,,,,,,,,,,,,,,,,,,,
2007/03/23,,,,,,,,,,,,,,,,,,,,,
2007/03/24,,,,,,,,,,,,,,,,,,,,,
2007/03/25,,,,,,,,,,,,,,,,,,,,,
2007/03/26,,,,,,,,,,,,,,,,,,,,,
2007/03/27,,,,,,,,,,,,,,,,,,,,,
2007/03/28,,,,,,,,,,,,,,,,,,,,,
2007/03/29,,,,,,,,,,,,,,,,,,,,,
2007/03/30,,,,,,,,,,,,,,,,,,,,,
2007/03/31,,,,,,,,,,,,,,,,,,,,,
2007/04/01,,,,,,,,,,,,,,,,,,,,,
2007/04/02,,,,,,,,,,,,,,,,,,,,,
2007/04/03,,,,,,,,,,,,,,,,,,,,,
2007/04/04,,,,,,,,,,,,,,,,,,,,,
2007/04/05,,,,,,,,,,,,,,,,,,,,,
2007/04/06,,,,,,,,,,,,,,,,,,,,,
2007/04/07,,,,,,,,,,,,,,,,,,,,,
2007/04/08,,,,,,,,,,,,,,,,,,,,,
2007/04/09,,,,,,,,,,,,,,,,,,,,,
2007/04/10,,,,,,,,,,,,,,,,,,,,,
2007/04/11,,,,,,,,,,,,,,,,,,,,,
2007/04/12,,,,,,,,,,,,,,,,,,,,,
2007/04/13,,,,,,,,,,,,,,,,,,,,,
2007/04/14,,,,,,,,,,,,,,,,,,,,,
2007/04/15,,,,,,,,,,,,,,,,,,,,,
2007/04/16,,,,,,,,,,,,,,,,,,,,,
2007/04/17,,,,,,,,,,,,,,,,,,,,,
2007/04/18,,,,,,,,,,,,,,,,,,,,,
2007/04/19,,,,,,,,,,,,,,,,,,,,,
2007/04/20,,,,,,,,,,,,,,,,,,,,,
2007/04/21,,,,,,,,,,,,,,,,,,,,,
2007/04/22,,,,,,,,,,,,,,,,,,,,,
2007/04/23,,,,,,,,,,,,,,,,,,,,,
2007/04/24,,,,,,,,,,,,,,,,,,,,,
2007/04/25,,,,,,,,,,,,,,,,,,,,,
2007/04/26,,,,,,,,,,,,,,,,,,,,,
2007/04/27,,,,,,,,,,,,,,,,,,,,,
2007/04/28,,,,,,,,,,,,,,,,,,,,,
2007/04/29,,,,,,,,,,,,,,,,,,,,,
2007/04/30,,,,,,,,,,,,,,,,,,,,,
2007/05/01,,,,,,,,,,,,,,,,,,,,,
2007/05/02,,,,,,,,,,,,,,,,,,,,,
2007/05/03,,,,,,,,,,,,,,,,,,,,,
2007/05/04,,,,,,,,,,,,,,,,,,,,,
2007/05/05,,,,,,,,,,,,,,,,,,,,,
2007/05/06,,,,,,,,,,,,,,,,,,,,,
2007/05/07,,,,,,,,,,,,,,,,,,,,,
2007/05/08,,,,,,,,,,,,,,,,,,,,,
2007/05/09,,,,,,,,,,,,,,,,,,,,,
2007/05/10,,,,,,,,,,,,,,,,,,,,,
2007/05/11,,,,,,,,,,,,,,,,,,,,,
2007/05/12,,,,,,,,,,,,,,,,,,,,,
2007/05/13,,,,,,,,,,,,,,,,,,,,,
2007/05/14,,,,,,,,,,,,,,,,,,,,,
2007/05/15,,,,,,,,,,,,,,,,,,,,,
2007/05/16,,,,,,,,,,,,,,,,,,,,,
2007/05/17,,,,,,,,,,,,,,,,,,,,,
2007/05/18,,,,,,,,,,,,,,,,,,,,,
2007/05/19,,,,,,,,,,,,,,,,,,,,,
2007/05/20,11,289.57,62.45,804.9,223.2,N,0.0,90.0,297.66066666666666,51.11833333333334,44.66566666666667,35.093666666666664,30.33866666666667,18.724333333333334,72.02066666666667,108.24366666666666,222.74266666666665,276.337,286.25966666666665,286.84066666666666,287.17466666666667
2007/05/21,11,287.49,60.39,804.9,280.8,N,0.0,90.0,297.4046666666667,72.38866666666667,64.29366666666667,51.878,44.325,34.96966666666667,101.03399999999999,132.35533333333333,230.247,275.1276666666667,283.299,284.00666666666666,284.51966666666664
2007/05/22,11,285.1,86.43,793.3,255.7,N,0.0,90.0,294.834,63.644666666666666,54.777,41.900333333333336,33.924,22.266333333333336,77.66199999999999,112.30733333333333,222.58666666666664,273.13466666666665,281.45033333333333,281.7823333333333,282.309
2007/05/23,11,282.48,81.62,793.4,275.8,N,0.0,90.0,291.28766666666667,142.73733333333334,137.82999999999998,131.62433333333334,131.05666666666667,128.299,175.30599999999998,195.363,251.96633333333335,276.61,280.54533333333336,280.8996666666667,281.1936666666667
2007/05/24,11,279.08,74.17,793.8,226.2,N,0.0,90.0,289.458,30.508666666666667,24.884999999999998,19.531333333333333,23.109333333333332,14.127333333333333,68.59333333333333,104.202,217.9306666666667,269.21933333333334,276.677,277.26666666666665,277.39366666666666
2007/05/25,11,286.53,33.33,793.2,268.7,N,0.0,90.0,295.26733333333334,43.033,35.80166666666667,27.738666666666663,29.095333333333333,20.693,77.113,112.10366666666667,222.611,273.78700000000003,283.832,284.20433333333335,284.9033333333333
2007/05/26,,,,,,,,,,,,,,,,,,,,,
2007/05/27,,,,,,,,,,,,,,,,,,,,,
2007/05/28,11,287.77,50.52,793.2,223.2,N,0.0,90.0,297.70466666666664,47.89866666666667,41.02733333333333,31.59366666666667,28.851,18.108333333333334,71.107,107.16466666666666,221.29466666666667,274.42066666666665,284.14233333333334,284.7853333333333,285.2216666666667
2007/05/29,11,289.49,66.14,793.2,274.1,N,0.0,90.0,297.8976666666666,82.39533333333333,74.63766666666666,63.111666666666665,57.32333333333333,50.596999999999994,125.674,153.66199999999998,238.648,277.78666666666663,285.89166666666665,286.65066666666667,286.96466666666663
2007/05/30,11,284.05,100.01,793.3,276.0,Y,0.0,90.0,293.152,130.981,127.297,117.81066666666666,115.74933333333334,109.17533333333333,162.14999999999998,184.3793333333333,248.87333333333333,277.36699999999996,282.32466666666664,282.41866666666664,282.924
