,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2007/01/01,,,,,,,,,,,,,,,,,,,,,
2007/01/02,,,,,,,,,,,,,,,,,,,,,
2007/01/03,,,,,,,,,,,,,,,,,,,,,
2007/01/04,,,,,,,,,,,,,,,,,,,,,
2007/01/05,,,,,,,,,,,,,,,,,,,,,
2007/01/06,,,,,,,,,,,,,,,,,,,,,
2007/01/07,,,,,,,,,,,,,,,,,,,,,
2007/01/08,,,,,,,,,,,,,,,,,,,,,
2007/01/09,,,,,,,,,,,,,,,,,,,,,
2007/01/10,,,,,,,,,,,,,,,,,,,,,
2007/01/11,,,,,,,,,,,,,,,,,,,,,
2007/01/12,,,,,,,,,,,,,,,,,,,,,
2007/01/13,,,,,,,,,,,,,,,,,,,,,
2007/01/14,,,,,,,,,,,,,,,,,,,,,
2007/01/15,,,,,,,,,,,,,,,,,,,,,
2007/01/16,,,,,,,,,,,,,,,,,,,,,
2007/01/17,,,,,,,,,,,,,,,,,,,,,
2007/01/18,,,,,,,,,,,,,,,,,,,,,
2007/01/19,,,,,,,,,,,,,,,,,,,,,
2007/01/20,,,,,,,,,,,,,,,,,,,,,
2007/01/21,,,,,,,,,,,,,,,,,,,,,
2007/01/22,,,,,,,,,,,,,,,,,,,,,
2007/01/23,,,,,,,,,,,,,,,,,,,,,
2007/01/24,,,,,,,,,,,,,,,,,,,,,
2007/01/25,,,,,,,,,,,,,,,,,,,,,
2007/01/26,,,,,,,,,,,,,,,,,,,,,
2007/01/27,,,,,,,,,,,,,,,,,,,,,
2007/01/28,,,,,,,,,,,,,,,,,,,,,
2007/01/29,,,,,,,,,,,,,,,,,,,,,
2007/01/30,,,,,,,,,,,,,,,,,,,,,
2007/01/31,,,,,,,,,,,,,,,,,,,,,
2007/02/01,,,,,,,,,,,,,,,,,,,,,
2007/02/02,,,,,,,,,,,,,,,,,,,,,
2007/02/03,,,,,,,,,,,,,,,,,,,,,
2007/02/04,,,,,,,,,,,,,,,,,,,,,
2007/02/05,,,,,,,,,,,,,,,,,,,,,
2007/02/06,,,,,,,,,,,,,,,,,,,,,
2007/02/07,,,,,,,,,,,,,,,,,,,,,
2007/02/08,,,,,,,,,,,,,,,,,,,,,
2007/02/09,,,,,,,,,,,,,,,,,,,,,
2007/02/10,,,,,,,,,,,,,,,,,,,,,
2007/02/11,,,,,,,,,,,,,,,,,,,,,
2007/02/12,,,,,,,,,,,,,,,,,,,,,
2007/02/13,,,,,,,,,,,,,,,,,,,,,
2007/02/14,,,,,,,,,,,,,,,,,,,,,
2007/02/15,,,,,,,,,,,,,,,,,,,,,
2007/02/16,,,,,,,,,,,,,,,,,,,,,
2007/02/17,,,,,,,,,,,,,,,,,,,,,
2007/02/18,,,,,,,,,,,,,,,,,,,,,
2007/02/19,,,,,,,,,,,,,,,,,,,,,
2007/02/20,,,,,,,,,,,,,,,,,,,,,
2007/02/21,,,,,,,,,,,,,,,,,,,,,
2007/02/22,,,,,,,,,,,,,,,,,,,,,
2007/02/23,,,,,,,,,,,,,,,,,,,,,
2007/02/24,,,,,,,,,,,,,,,,,,,,,
2007/02/25,,,,,,,,,,,,,,,,,,,,,
2007/02/26,,,,,,,,,,,,,,,,,,,,,
2007/02/27,,,,,,,,,,,,,,,,,,,,,
2007/02/28,,,,,,,,,,,,,,,,,,,,,
2007/03/01,,,,,,,,,,,,,,,,,,,,,
2007/03/02,,,,,,,,,,,,,,,,,,,,,
2007/03/03,,,,,,,,,,,,,,,,,,,,,
2007/03/04,,,,,,,,,,,,,,,,,,,,,
2007/03/05,,,,,,,,,,,,,,,,,,,,,
2007/03/06,,,,,,,,,,,,,,,,,,,,,
2007/03/07,,,,,,,,,,,,,,,,,,,,,
2007/03/08,,,,,,,,,,,,,,,,,,,,,
2007/03/09,,,,,,,,,,,,,,,,,,,,,
2007/03/10,,,,,,,,,,,,,,,,,,,,,
2007/03/11,,,,,,,,,,,,,,,,,,,,,
2007/03/12,,,,,,,,,,,,,,,,,,,,,
2007/03/13,,,,,,,,,,,,,,,,,,,,,
2007/03/14,,,,,,,,,,,,,,,,,,,,,
2007/03/15,,,,,,,,,,,,,,,,,,,,,
2007/03/16,,,,,,,,,,,,,,,,,,,,,
2007/03/17,,,,,,,,,,,,,,,,,,,,,
2007/03/18,,,,,,,,,,,,,,,,,,,,,
2007/03/19,,,,,,,,,,,,,,,,,,,,,
2007/03/20,,,,,,,,,,,,,,,,,,,,,
2007/03/21,,,,,,,,,,,,,,,,,,,,,
2007/03/22,,,,,,,,,,,,,,,,,,,,,
2007/03/23,,,,,,,,,,,,,,,,,,,,,
2007/03/24,,,,,,,,,,,,,,,,,,,,,
2007/03/25,,,,,,,,,,,,,,,,,,,,,
2007/03/26,,,,,,,,,,,,,,,,,,,,,
2007/03/27,,,,,,,,,,,,,,,,,,,,,
2007/03/28,,,,,,,,,,,,,,,,,,,,,
2007/03/29,,,,,,,,,,,,,,,,,,,,,
2007/03/30,,,,,,,,,,,,,,,,,,,,,
2007/03/31,,,,,,,,,,,,,,,,,,,,,
2007/04/01,,,,,,,,,,,,,,,,,,,,,
2007/04/02,,,,,,,,,,,,,,,,,,,,,
2007/04/03,,,,,,,,,,,,,,,,,,,,,
2007/04/04,,,,,,,,,,,,,,,,,,,,,
2007/04/05,,,,,,,,,,,,,,,,,,,,,
2007/04/06,,,,,,,,,,,,,,,,,,,,,
2007/04/07,,,,,,,,,,,,,,,,,,,,,
2007/04/08,,,,,,,,,,,,,,,,,,,,,
2007/04/09,,,,,,,,,,,,,,,,,,,,,
2007/04/10,,,,,,,,,,,,,,,,,,,,,
2007/04/11,,,,,,,,,,,,,,,,,,,,,
2007/04/12,,,,,,,,,,,,,,,,,,,,,
2007/04/13,,,,,,,,,,,,,,,,,,,,,
2007/04/14,,,,,,,,,,,,,,,,,,,,,
2007/04/15,,,,,,,,,,,,,,,,,,,,,
2007/04/16,,,,,,,,,,,,,,,,,,,,,
2007/04/17,,,,,,,,,,,,,,,,,,,,,
2007/04/18,,,,,,,,,,,,,,,,,,,,,
2007/04/19,,,,,,,,,,,,,,,,,,,,,
2007/04/20,,,,,,,,,,,,,,,,,,,,,
2007/04/21,,,,,,,,,,,,,,,,,,,,,
2007/04/22,,,,,,,,,,,,,,,,,,,,,
2007/04/23,,,,,,,,,,,,,,,,,,,,,
2007/04/24,,,,,,,,,,,,,,,,,,,,,
2007/04/25,,,,,,,,,,,,,,,,,,,,,
2007/04/26,,,,,,,,,,,,,,,,,,,,,
2007/04/27,,,,,,,,,,,,,,,,,,,,,
2007/04/28,,,,,,,,,,,,,,,,,,,,,
2007/04/29,,,,,,,,,,,,,,,,,,,,,
2007/04/30,,,,,,,,,,,,,,,,,,,,,
2007/05/01,,,,,,,,,,,,,,,,,,,,,
2007/05/02,,,,,,,,,,,,,,,,,,,,,
2007/05/03,,,,,,,,,,,,,,,,,,,,,
2007/05/04,,,,,,,,,,,,,,,,,,,,,
2007/05/05,,,,,,,,,,,,,,,,,,,,,
2007/05/06,,,,,,,,,,,,,,,,,,,,,
2007/05/07,,,,,,,,,,,,,,,,,,,,,
2007/05/08,,,,,,,,,,,,,,,,,,,,,
2007/05/09,,,,,,,,,,,,,,,,,,,,,
2007/05/10,,,,,,,,,,,,,,,,,,,,,
2007/05/11,,,,,,,,,,,,,,,,,,,,,
2007/05/12,,,,,,,,,,,,,,,,,,,,,
2007/05/13,,,,,,,,,,,,,,,,,,,,,
2007/05/14,,,,,,,,,,,,,,,,,,,,,
2007/05/15,,,,,,,,,,,,,,,,,,,,,
2007/05/16,,,,,,,,,,,,,,,,,,,,,
2007/05/17,,,,,,,,,,,,,,,,,,,,,
2007/05/18,,,,,,,,,,,,,,,,,,,,,
2007/05/19,11,299.64,25.29,804.7,228.8,N,0.0,90.0,303.0626666666667,56.72066666666666,49.82266666666667,38.51266666666666,32.635999999999996,19.668666666666667,72.00099999999999,108.553,224.55033333333333,280.31966666666665,293.1809999999999,294.09299999999996,294.84933333333333
2007/05/20,11,297.57,25.39,804.7,277.2,N,0.0,90.0,305.76366666666667,62.766666666666666,54.708666666666666,42.16733333333333,35.049,22.930333333333333,77.50399999999999,112.99966666666666,225.62099999999998,279.133,291.0926666666667,292.04533333333336,293.0243333333333
2007/05/21,11,286.47,70.8,793.2,241.2,N,0.0,90.0,296.96,58.19866666666667,50.922,39.56733333333334,32.840666666666664,20.986333333333334,74.88033333333334,109.94300000000001,221.83133333333333,273.0573333333333,281.49966666666666,282.31966666666665,282.86833333333334
2007/05/22,11,291.14,46.04,793.1,276.2,N,0.0,90.0,300.68,72.46066666666667,63.17733333333334,49.303333333333335,40.78033333333333,30.117,90.822,124.21866666666668,227.836,275.68033333333335,285.27666666666664,286.2133333333333,286.775
2007/05/23,11,280.94,59.53,793.4,274.1,Y,0.0,90.0,291.299,67.49933333333334,60.858,51.900999999999996,50.617333333333335,45.329,119.73766666666668,147.36166666666665,232.44033333333334,269.899,276.61699999999996,277.418,277.8186666666667
2007/05/24,11,291.14,34.75,793.1,258.7,N,0.0,90.0,302.3643333333333,40.071333333333335,33.099666666666664,24.918,25.970666666666666,15.965333333333334,68.51566666666666,105.19466666666665,220.92633333333333,274.56333333333333,285.7073333333333,286.635,287.54699999999997
2007/05/25,11,292.45,22.11,793.1,253.5,N,0.0,90.0,301.241,46.63133333333333,38.68266666666666,28.455000000000002,27.061999999999998,16.668000000000003,68.70733333333332,105.63299999999998,221.447,275.32933333333335,286.51300000000003,287.499,288.26633333333336
2007/05/26,,,,,,,,,,,,,,,,,,,,,
2007/05/27,,,,,,,,,,,,,,,,,,,,,
2007/05/28,11,296.78,27.03,793.0,245.0,N,0.0,90.0,304.83466666666664,55.00099999999999,47.31433333333334,35.84866666666666,30.89966666666667,19.016,70.829,107.69733333333333,224.20933333333332,278.79966666666667,290.89866666666666,291.92633333333333,292.8213333333333
2007/05/29,11,294.36,54.75,793.0,279.2,N,0.0,90.0,302.99666666666667,86.438,79.38666666666666,67.24933333333333,59.70933333333333,52.76566666666667,127.72766666666666,155.61433333333335,239.62266666666667,278.9293333333333,288.08799999999997,289.058,289.90566666666666
